file,row,seance,size_bytes,dark_pixels,total_pixels,density
row9_seance8.jpg,9,8,1967,1,11183,0.0001
row73_seance9.jpg,73,9,2287,18,11760,0.0015
row68_seance10.jpg,68,10,2238,55,11990,0.0046
row75_seance10.jpg,75,10,2355,55,11990,0.0046
row41_seance9.jpg,41,9,2114,56,11816,0.0047
row49_seance10.jpg,49,10,1658,55,11605,0.0047
row43_seance9.jpg,43,9,1960,56,11660,0.0048
row56_seance9.jpg,56,9,2169,57,11760,0.0048
row9_seance9.jpg,9,9,2317,58,11395,0.0051
row40_seance9.jpg,40,9,2450,61,11816,0.0052
row9_seance7.jpg,9,7,2339,59,11448,0.0052
row10_seance8.jpg,10,8,2306,77,11770,0.0065
row42_seance9.jpg,42,9,2184,80,11984,0.0067
row52_seance10.jpg,52,10,2438,80,11760,0.0068
row53_seance9.jpg,53,9,2191,80,11760,0.0068
row57_seance9.jpg,57,9,2532,80,11550,0.0069
row40_seance8.jpg,40,8,2215,87,11984,0.0073
row46_seance9.jpg,46,9,2425,85,11605,0.0073
row11_seance6.jpg,11,6,2555,91,11984,0.0076
row18_seance7.jpg,18,7,2339,92,11872,0.0077
row42_seance10.jpg,42,10,2352,92,11872,0.0077
row19_seance8.jpg,19,8,2313,94,11872,0.0079
row49_seance9.jpg,49,9,2040,98,11825,0.0083
row43_seance8.jpg,43,8,2204,100,11770,0.0085
row68_seance7.jpg,68,7,2382,112,11550,0.0097
row41_seance8.jpg,41,8,2253,118,12040,0.0098
row51_seance9.jpg,51,9,2201,120,11760,0.0102
row81_seance10.jpg,81,10,1987,124,12096,0.0103
row9_seance10.jpg,9,10,2552,120,11501,0.0104
row54_seance10.jpg,54,10,2416,122,11605,0.0105
row65_seance7.jpg,65,7,2083,125,11816,0.0106
row66_seance10.jpg,66,10,1702,129,12100,0.0107
row51_seance8.jpg,51,8,2158,132,12040,0.011
row73_seance10.jpg,73,10,2453,135,12208,0.0111
row64_seance10.jpg,64,10,2101,145,12264,0.0118
row83_seance7.jpg,83,7,2104,137,11605,0.0118
row84_seance10.jpg,84,10,2397,143,12152,0.0118
row53_seance8.jpg,53,8,1850,143,12040,0.0119
row64_seance9.jpg,64,9,2264,141,11760,0.012
row70_seance10.jpg,70,10,2279,148,12264,0.0121
row70_seance9.jpg,70,9,2124,144,11760,0.0122
row80_seance10.jpg,80,10,2406,150,12152,0.0123
row57_seance8.jpg,57,8,2284,148,11880,0.0125
row59_seance10.jpg,59,10,2429,157,12320,0.0127
row36_seance8.jpg,36,8,2393,153,11984,0.0128
row26_seance8.jpg,26,8,2210,154,11984,0.0129
row46_seance8.jpg,46,8,2266,152,11825,0.0129
row72_seance10.jpg,72,10,2627,159,12264,0.013
row21_seance7.jpg,21,7,2407,159,11928,0.0133
row19_seance9.jpg,19,9,2610,165,12096,0.0136
row69_seance10.jpg,69,10,2313,167,12264,0.0136
row44_seance8.jpg,44,8,2362,165,11984,0.0138
row62_seance10.jpg,62,10,2161,171,12320,0.0139
row56_seance10.jpg,56,10,2359,172,12320,0.014
row71_seance10.jpg,71,10,2535,172,12264,0.014
row65_seance9.jpg,65,9,2488,175,11760,0.0149
row56_seance8.jpg,56,8,2463,185,12040,0.0154
row65_seance6.jpg,65,6,2218,186,11984,0.0155
row32_seance8.jpg,32,8,2254,186,11825,0.0157
row37_seance9.jpg,37,9,2339,189,12040,0.0157
row43_seance10.jpg,43,10,2183,187,11770,0.0159
row54_seance9.jpg,54,9,2235,193,11825,0.0163
row38_seance8.jpg,38,8,2433,199,11984,0.0166
row15_seance7.jpg,15,7,2576,202,11872,0.017
row13_seance10.jpg,13,10,2591,205,11825,0.0173
row31_seance9.jpg,31,9,2510,208,11984,0.0174
row83_seance6.jpg,83,6,2107,207,11770,0.0176
row44_seance9.jpg,44,9,2648,211,11872,0.0178
row65_seance10.jpg,65,10,2569,219,12264,0.0179
row17_seance7.jpg,17,7,2615,211,11715,0.018
row17_seance6.jpg,17,6,2463,213,11715,0.0182
row73_seance7.jpg,73,7,2249,214,11760,0.0182
row45_seance8.jpg,45,8,2208,221,12040,0.0184
row74_seance7.jpg,74,7,2533,228,11984,0.019
row47_seance10.jpg,47,10,2373,230,12040,0.0191
row66_seance7.jpg,66,7,2451,221,11550,0.0191
row77_seance7.jpg,77,7,2509,226,11816,0.0191
row53_seance10.jpg,53,10,2346,232,12040,0.0193
row36_seance9.jpg,36,9,2487,229,11816,0.0194
row65_seance8.jpg,65,8,2262,233,12040,0.0194
row84_seance6.jpg,84,6,2592,233,11984,0.0194
row45_seance9.jpg,45,9,2394,231,11816,0.0195
row58_seance8.jpg,58,8,2468,232,11760,0.0197
row22_seance8.jpg,22,8,2535,241,12096,0.0199
row26_seance9.jpg,26,9,2155,236,11872,0.0199
row32_seance9.jpg,32,9,2588,232,11660,0.0199
row46_seance10.jpg,46,10,2571,237,11825,0.02
row68_seance6.jpg,68,6,2280,236,11825,0.02
row5_seance8.jpg,5,8,2696,241,11825,0.0204
row81_seance9.jpg,81,9,2726,243,11872,0.0205
row21_seance8.jpg,21,8,2542,249,12096,0.0206
row86_seance7.jpg,86,7,2312,239,11605,0.0206
row44_seance10.jpg,44,10,2585,248,11984,0.0207
row55_seance9.jpg,55,9,2125,249,12040,0.0207
row37_seance10.jpg,37,10,2390,247,11816,0.0209
row39_seance9.jpg,39,9,2352,251,11984,0.0209
row39_seance8.jpg,39,8,2691,250,11872,0.0211
row50_seance8.jpg,50,8,2514,254,12040,0.0211
row75_seance6.jpg,75,6,2213,250,11770,0.0212
